airmass,ra,dec,ifilter,depth,exposure,expnum,date_obs,pi,prop_id,instrument,obs_type,object,proc_type,prod_type
1.07,344.005275,-14.772,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241719,2023-09-23T02:34:31.374325+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.01,333.4609958,-24.799,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241712,2023-09-23T02:23:33.868187+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.04,344.4910042,-20.746,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241721,2023-09-23T02:38:04.898923+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.04,337.613025,-15.252,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241720,2023-09-23T02:36:21.156445+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.17,341.6830042,-22.555,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241667,2023-09-23T01:09:16.537496+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.12,335.2810042,-24.68,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241661,2023-09-23T00:59:38.116915+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.14,335.4370042,-21.548,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241660,2023-09-23T00:58:07.352154+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.2,339.0320083,-21.266,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241656,2023-09-23T00:50:41.762038+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.22,339.8680042,-22.734,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241653,2023-09-23T00:45:50.519535+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.07,339.843,-29.038,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241685,2023-09-23T01:39:10.566399+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.08,343.509,-22.363,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241697,2023-09-23T01:58:28.401703+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.16,341.8240042,-19.492,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241673,2023-09-23T01:19:13.162286+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.1,339.795,-25.863,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241678,2023-09-23T01:27:14.739859+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.16,341.0030083,-18.049,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241672,2023-09-23T01:17:43.894863+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.39,337.3555042,-21.77169,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241913,2023-09-23T23:49:39.261110+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.46,338.1883208,-23.2427,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241906,2023-09-23T23:37:31.023973+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
