object,ra,dec,fil
DELVE-14514-1,125.856,-32.392,r
DELVE-12415-1,126.522,-34.01,r
DELVE-12414-1,125.058,-35.225,r
DELVE-12413-1,123.55399999999996,-36.409,r
DELVE-12412-1,122.01600000000002,-37.562,r
,126.16527083333332,-13.423,r
,128.0072708333333,-13.647,r
,124.83226666666664,-14.682,r
,126.69027083333332,-14.936,r
,128.542275,-15.161,r
,123.48125833333332,-15.903,r
,125.35527083333332,-16.201,r
,127.22427083333332,-16.455,r
,129.0882583333333,-16.679,r
,122.91001666666666,-17.081,r
,124.00227083333334,-17.43,r
,125.88826666666664,-17.724,r
,127.77027083333331,-17.978,r
,129.64625833333332,-18.203,r
,121.5280208333333,-18.22,r
,123.42800833333332,-18.619,r
,125.3300083333333,-18.962,r
,126.43325833333331,-19.253,r
,120.13201666666666,-19.324,r
,128.32825416666668,-19.508,r
,122.04001666666665,-19.772,r
,123.9560083333333,-20.162,r
,125.87300833333332,-20.499,r
,126.98926666666664,-20.789,r
,120.63700416666664,-20.891,r
,122.56300416666666,-21.326,r
,124.66525416666666,-21.876,r
,119.21699999999998,-21.981,r
,121.152,-22.459,r
,123.09700416666664,-22.885,r
,125.04700416666668,-23.263,r
,118.92725833333331,-23.562,r
,120.88325833333332,-24.03,r
,123.64499999999995,-24.45,r
,117.48025416666664,-24.637,r
,125.61400416666666,-24.823,r
,119.44624583333332,-25.145,r
,121.42525416666666,-25.605,r
,124.20799583333334,-26.021,r
,117.98824583333332,-26.231,r
,125.40124583333332,-26.392,r
,119.98024583333331,-26.731,r
,121.98225,-27.187,r
,123.91124999999998,-27.599,r
,118.51125,-27.829,r
,120.5292458333333,-28.324,r
,122.55724583333333,-28.776,r
,124.59124583333332,-29.187,r
,119.05123333333331,-29.431,r
,121.09624583333331,-29.923,r
,123.15124583333332,-30.374,r
,117.5472458333333,-30.511,r
,125.21124166666668,-30.785,r
,119.60923333333332,-31.04,r
,121.68422916666664,-31.531,r
,123.76723333333332,-31.981,r
,118.09123333333332,-32.128,r
,120.18523333333331,-32.656,r
,122.29022916666666,-33.147,r
,124.40323333333332,-33.598,r
,118.64923333333331,-33.752,r
,120.77522916666666,-34.281,r
,122.91223333333332,-34.772,r
,119.22422916666666,-35.385,r
,121.38422916666664,-35.915,r
,119.82121666666664,-37.029,r
DELVE-14418-1,125.63099999999996,-22.043,r
DELVE-14439-1,127.56100000000004,-22.333,r
DELVE-14438-1,126.20100000000002,-23.594,r
DELVE-14460-1,128.14800000000002,-23.884,r
DELVE-14459-1,126.78700000000003,-25.154,r
DELVE-14481-1,127.39100000000002,-26.723,r
DELVE-14480-1,126.00400000000002,-27.97,r
DELVE-14499-1,126.627,-29.558,r
DELVE-14514-1,125.856,-32.392,z
DELVE-12415-1,126.522,-34.01,z
DELVE-12414-1,125.058,-35.225,z
DELVE-12413-1,123.55399999999996,-36.409,z
DELVE-12412-1,122.01600000000002,-37.562,z
,126.16527083333332,-13.423,z
,128.0072708333333,-13.647,z
,124.83226666666664,-14.682,z
,126.69027083333332,-14.936,z
,128.542275,-15.161,z
,123.48125833333332,-15.903,z
,125.35527083333332,-16.201,z
,127.22427083333332,-16.455,z
,129.0882583333333,-16.679,z
,122.91001666666666,-17.081,z
,124.00227083333334,-17.43,z
,125.88826666666664,-17.724,z
,127.77027083333331,-17.978,z
,129.64625833333332,-18.203,z
,121.5280208333333,-18.22,z
,123.42800833333332,-18.619,z
,125.3300083333333,-18.962,z
,126.43325833333331,-19.253,z
,120.13201666666666,-19.324,z
,128.32825416666668,-19.508,z
,122.04001666666665,-19.772,z
,123.9560083333333,-20.162,z
,125.87300833333332,-20.499,z
,126.98926666666664,-20.789,z
,120.63700416666664,-20.891,z
,122.56300416666666,-21.326,z
,124.66525416666666,-21.876,z
,119.21699999999998,-21.981,z
,121.152,-22.459,z
,123.09700416666664,-22.885,z
,125.04700416666668,-23.263,z
,118.92725833333331,-23.562,z
,120.88325833333332,-24.03,z
,123.64499999999995,-24.45,z
,117.48025416666664,-24.637,z
,125.61400416666666,-24.823,z
,119.44624583333332,-25.145,z
,121.42525416666666,-25.605,z
,124.20799583333334,-26.021,z
,117.98824583333332,-26.231,z
,125.40124583333332,-26.392,z
,119.98024583333331,-26.731,z
,121.98225,-27.187,z
,123.91124999999998,-27.599,z
,118.51125,-27.829,z
,120.5292458333333,-28.324,z
,122.55724583333333,-28.776,z
,124.59124583333332,-29.187,z
,119.05123333333331,-29.431,z
,121.09624583333331,-29.923,z
,123.15124583333332,-30.374,z
,117.5472458333333,-30.511,z
,125.21124166666668,-30.785,z
,119.60923333333332,-31.04,z
,121.68422916666664,-31.531,z
,123.76723333333332,-31.981,z
,118.09123333333332,-32.128,z
,120.18523333333331,-32.656,z
,122.29022916666666,-33.147,z
,124.40323333333332,-33.598,z
,118.64923333333331,-33.752,z
,120.77522916666666,-34.281,z
,122.91223333333332,-34.772,z
,119.22422916666666,-35.385,z
,121.38422916666664,-35.915,z
,119.82121666666664,-37.029,z
DELVE-14418-1,125.63099999999996,-22.043,z
DELVE-14439-1,127.56100000000004,-22.333,z
DELVE-14438-1,126.20100000000002,-23.594,z
DELVE-14460-1,128.14800000000002,-23.884,z
DELVE-14459-1,126.78700000000003,-25.154,z
DELVE-14481-1,127.39100000000002,-26.723,z
DELVE-14480-1,126.00400000000002,-27.97,z
DELVE-14499-1,126.627,-29.558,z
