ra,fil,dec,Object
126.98650416666663,r,-20.791690000000003,S240422ed
128.32659166666667,r,-19.50986,S240422ed
126.20354999999998,r,-23.5975,S240422ed
118.92777083333333,r,-23.562,S240422ed
124.79099999999998,r,-23.43083,S240422ed
117.99124583333332,r,-26.227559999999997,S240422ed
121.42874999999998,r,-25.601110000000002,S240422ed
120.88675416666668,r,-24.025969999999997,S240422ed
125.21440416666665,r,-30.78133,S240422ed
121.1000708333333,r,-29.91897,S240422ed
125.40316666666665,r,-26.39539,S240422ed
125.86002083333331,r,-32.38619,S240422ed
129.6458833333333,r,-18.20603,S240422ed
124.003725,r,-17.43197,S240422ed
129.08469166666666,r,-16.680670000000003,S240422ed
124.003725,z,-17.43197,S240422ed
129.08469166666666,z,-16.680670000000003,S240422ed
124.79099999999998,z,-23.43083,S240422ed
126.98650416666663,z,-20.791690000000003,S240422ed
128.32659166666667,z,-19.50986,S240422ed
129.6458833333333,z,-18.20603,S240422ed
118.92777083333333,z,-23.562,S240422ed
125.40316666666665,z,-26.39539,S240422ed
117.99124583333332,z,-26.227559999999997,S240422ed
121.42874999999998,z,-25.601110000000002,S240422ed
120.88675416666668,z,-24.025969999999997,S240422ed
126.20354999999998,z,-23.5975,S240422ed
126.78895416666664,r,-25.15767,S240422ed
125.86002083333331,z,-32.38619,S240422ed
125.21440416666665,z,-30.78133,S240422ed
121.1000708333333,z,-29.91897,S240422ed
119.98342499999998,r,-26.72561,S240422ed
123.1544833333333,r,-30.36994,S240422ed
123.1544833333333,z,-30.36994,S240422ed
126.43009583333331,r,-19.25658,S240422ed
126.43009583333331,z,-19.25658,S240422ed
126.78895416666664,z,-25.15767,S240422ed
119.98342499999998,z,-26.72561,S240422ed
