col1,Unnamed: 0,TILEID,RA,DEC,desu,desg,desr,desi,desz,desy,clus_id,delve_passno,isdelve
34500,37864,DELVE-6121-3,164.5606686305902,-27.03604746014784,true,true,false,false,true,true,22384,3,true
35070,38709,DELVE-6966-3,166.41351166425022,-26.772264256709743,false,true,false,true,true,true,11172,3,true
35092,38741,DELVE-6998-3,163.6309947252905,-25.604278764854527,false,true,false,true,true,true,22320,3,true
35081,38724,DELVE-6981-3,165.4844023185945,-25.363698528561027,true,true,false,true,false,false,22247,3,true
35069,38708,DELVE-6965-3,167.35881132766792,-25.11374806145401,false,true,false,true,true,false,5501,3,true
35103,38758,DELVE-7015-3,162.73472896869,-24.173477872915875,true,true,false,true,false,true,11117,3,true
35091,38740,DELVE-6997-3,164.58570291678532,-23.95408718319056,true,false,false,false,false,true,22146,3,true
35080,38723,DELVE-6980-3,166.45668226062807,-23.72732951569773,true,true,false,true,false,true,10916,3,true
35068,38707,DELVE-6964-3,168.35265709263598,-23.500195260027944,false,true,true,true,true,true,20248,3,true
35102,38757,DELVE-7014-3,163.70936708841424,-22.542424543901816,false,true,false,true,false,false,22029,3,true
35090,38739,DELVE-6996-3,165.57391848291488,-22.336848167314,true,true,false,true,false,false,21625,3,true
35079,38722,DELVE-6979-3,167.4604677180611,-22.12989761736754,true,true,true,true,false,false,40323,3,true
35067,38706,DELVE-6963-3,169.37300902175278,-21.927560050590063,true,true,true,true,true,true,39571,3,true
35101,38756,DELVE-7013-3,164.70749895943084,-20.94030483798515,true,true,false,true,true,false,10724,3,true
35089,38738,DELVE-6995-3,166.58262598525303,-20.75252854900457,true,true,true,true,false,false,20116,3,true
35078,38721,DELVE-6978-3,168.48074896045614,-20.566370288884865,true,true,true,true,false,false,9905,3,true
35066,38705,DELVE-6962-3,170.39785147768458,-20.38280681441953,false,true,true,true,true,false,39242,3,true
35100,38755,DELVE-7012-3,165.71812054603797,-19.36609106789336,false,true,false,true,true,false,20063,3,true
35088,38737,DELVE-6994-3,167.60082862038576,-19.197104042913992,false,true,true,true,false,false,9914,3,true
35077,38720,DELVE-6977-3,169.50052270665748,-19.027719498504773,false,true,false,true,true,false,19672,3,true
35065,38704,DELVE-6961-3,171.4091875058818,-18.849914763548018,false,true,true,true,true,false,39219,3,true
35099,38754,DELVE-7011-3,166.73123479973123,-17.818762226817938,false,true,true,true,false,false,39666,3,true
35087,38736,DELVE-6993-3,168.61453205288495,-17.662551461347444,false,true,true,true,false,false,19711,3,true
35076,38719,DELVE-6976-3,170.50680629060415,-17.498930041181776,false,true,true,true,true,false,9826,3,true
35098,38753,DELVE-7010-3,167.73886867906106,-16.287305036143046,false,true,true,true,false,false,19728,3,true
35086,38735,DELVE-6992-3,169.61576068268977,-16.137861886992653,false,true,true,true,true,false,19676,3,true
35075,38718,DELVE-6975-3,171.505624627045,-15.990012483959028,false,true,true,true,true,false,19540,3,true
35097,38752,DELVE-7009-3,168.73303714450756,-14.766710046957847,false,true,true,true,true,false,19680,3,true
35085,38734,DELVE-6991-3,170.60753375591932,-14.63004270434599,false,true,true,true,true,false,9792,3,true
35074,38717,DELVE-6974-3,172.49699511599613,-14.50696909929301,true,true,true,true,true,false,19352,3,true
35096,38751,DELVE-7008-3,169.71676318894907,-13.259985251733369,false,true,true,false,false,false,39189,3,true
35084,38733,DELVE-6990-3,171.59186878648282,-13.14609887740648,false,true,true,true,true,false,19395,3,true
35095,38750,DELVE-7007-3,170.69406305303903,-11.775138368895766,false,true,true,false,true,false,38840,3,true
35083,38732,DELVE-6989-3,172.5677907940774,-11.681031759151066,false,true,true,false,false,false,19222,3,true
35094,38749,DELVE-7006-3,171.6629578071284,-10.30816923423516,false,true,true,true,true,false,19249,3,true
