Object,ra,dec,fil
DELVE-6121-3,164.5606686305902,-27.03604746014784,g
DELVE-6966-3,166.41351166425022,-26.772264256709743,g
DELVE-6998-3,163.6309947252905,-25.60427876485452,g
DELVE-6981-3,165.4844023185945,-25.36369852856102,g
DELVE-6965-3,167.35881132766792,-25.1137480614540,g
DELVE-7015-3,162.73472896869,-24.17347787291587,g
DELVE-6997-3,164.58570291678532,-23.9540871831905,g
DELVE-6980-3,166.45668226062807,-23.7273295156977,g
DELVE-6964-3,168.35265709263598,-23.50019526002794,g
DELVE-7014-3,163.70936708841424,-22.54242454390181,g
DELVE-6996-3,165.57391848291488,-22.33684816731,g
DELVE-6979-3,167.4604677180611,-22.1298976173675,g
DELVE-6963-3,169.37300902175278,-21.92756005059006,g
DELVE-7013-3,164.70749895943084,-20.9403048379851,g
DELVE-6995-3,166.58262598525303,-20.7525285490045,g
DELVE-6978-3,168.48074896045614,-20.56637028888486,g
DELVE-6962-3,170.39785147768458,-20.3828068144195,g
DELVE-7012-3,165.71812054603797,-19.3660910678933,g
DELVE-6994-3,167.60082862038576,-19.19710404291399,g
DELVE-6977-3,169.50052270665748,-19.02771949850477,g
DELVE-6961-3,171.4091875058818,-18.84991476354801,g
DELVE-7011-3,166.73123479973123,-17.81876222681793,g
DELVE-6993-3,168.61453205288495,-17.66255146134744,g
DELVE-6976-3,170.50680629060415,-17.49893004118177,g
DELVE-7010-3,167.73886867906106,-16.28730503614304,g
DELVE-6992-3,169.61576068268977,-16.13786188699265,g
DELVE-6975-3,171.505624627045,-15.99001248395902,g
DELVE-7009-3,168.73303714450756,-14.76671004695784,g
DELVE-6991-3,170.60753375591932,-14.6300427043459,g
DELVE-6974-3,172.49699511599613,-14.5069690992930,g
DELVE-7008-3,169.71676318894907,-13.25998525173336,g
DELVE-6990-3,171.59186878648282,-13.1460988774064,g
DELVE-7007-3,170.69406305303903,-11.77513836889576,g
DELVE-6989-3,172.5677907940774,-11.68103175915106,g
DELVE-7006-3,171.6629578071284,-10.3081692342351,g
DELVE-6121-3,164.5606686305902,-27.03604746014784,i
DELVE-6966-3,166.41351166425022,-26.772264256709743,i
DELVE-6998-3,163.6309947252905,-25.60427876485452,i
DELVE-6981-3,165.4844023185945,-25.36369852856102,i
DELVE-6965-3,167.35881132766792,-25.1137480614540,i
DELVE-7015-3,162.73472896869,-24.17347787291587,i
DELVE-6997-3,164.58570291678532,-23.9540871831905,i
DELVE-6980-3,166.45668226062807,-23.7273295156977,i
DELVE-6964-3,168.35265709263598,-23.50019526002794,i
DELVE-7014-3,163.70936708841424,-22.54242454390181,i
DELVE-6996-3,165.57391848291488,-22.33684816731,i
DELVE-6979-3,167.4604677180611,-22.1298976173675,i
DELVE-6963-3,169.37300902175278,-21.92756005059006,i
DELVE-7013-3,164.70749895943084,-20.9403048379851,i
DELVE-6995-3,166.58262598525303,-20.7525285490045,i
DELVE-6978-3,168.48074896045614,-20.56637028888486,i
DELVE-6962-3,170.39785147768458,-20.3828068144195,i
DELVE-7012-3,165.71812054603797,-19.3660910678933,i
DELVE-6994-3,167.60082862038576,-19.19710404291399,i
DELVE-6977-3,169.50052270665748,-19.02771949850477,i
DELVE-6961-3,171.4091875058818,-18.84991476354801,i
DELVE-7011-3,166.73123479973123,-17.81876222681793,i
DELVE-6993-3,168.61453205288495,-17.66255146134744,i
DELVE-6976-3,170.50680629060415,-17.49893004118177,i
DELVE-7010-3,167.73886867906106,-16.28730503614304,i
DELVE-6992-3,169.61576068268977,-16.13786188699265,i
DELVE-6975-3,171.505624627045,-15.99001248395902,i
DELVE-7009-3,168.73303714450756,-14.76671004695784,i
DELVE-6991-3,170.60753375591932,-14.6300427043459,i
DELVE-6974-3,172.49699511599613,-14.5069690992930,i
DELVE-7008-3,169.71676318894907,-13.25998525173336,i
DELVE-6990-3,171.59186878648282,-13.1460988774064,i
DELVE-7007-3,170.69406305303903,-11.77513836889576,i
DELVE-6989-3,172.5677907940774,-11.68103175915106,i
DELVE-7006-3,171.6629578071284,-10.3081692342351,i
