updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2024-10-04T01:53:49.338139+0000,c0dc7b67fc0c0d6b4553de07af4ac6fc,346423680,/data_local/images/DTS/2023B-851374/DECam_01332210.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241003_235627_ooi_i_gw.fits.fz,1.3,"{'gte': 294.1184416666667, 'lte': 294.11844166676667}","{'gte': 9.10033, 'lte': 9.1003300001}",294.1184416666667,9.10033,i DECam SDSS c0003 7835.0 1470.0,1.17,,70.0,1332210,2024-10-03,2024-10-03T23:56:27.293158+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 11,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T16:47:32.525574+0000,c2c03583d76383e3af973eefd1c5c3e4,352768320,/data_local/images/DTS/2023B-851374/DECam_01332211.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241003_235808_ooi_i_v1.fits.fz,1.29,"{'gte': 292.5532916666666, 'lte': 292.5532916667666}","{'gte': 8.098972222222223, 'lte': 8.098972222322223}",292.5532916666666,8.098972222222223,i DECam SDSS c0003 7835.0 1470.0,1.19,23.16,70.0,1332211,2024-10-03,2024-10-03T23:58:08.405589+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 12,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T17:38:41.892290+0000,c3a51d3bef1abad75c093b7e4af61370,347457600,/data_local/images/DTS/2023B-851374/DECam_01332223.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_001857_ooi_z_v1.fits.fz,1.36,"{'gte': 292.5544583333333, 'lte': 292.5544583334333}","{'gte': 10.100916666666667, 'lte': 10.100916666766667}",292.5544583333333,10.100916666666667,z DECam SDSS c0004 9260.0 1520.0,0.99,23.33,80.0,1332223,2024-10-04,2024-10-04T00:18:57.955280+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 2,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T02:21:08.269520+0000,c782a336613087b25967ff60af6f4bf6,346242240,/data_local/images/DTS/2023B-851374/DECam_01332227.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_002629_ooi_z_gw.fits.fz,1.31,"{'gte': 290.79457499999995, 'lte': 290.79457500009994}","{'gte': 6.51117, 'lte': 6.5111700001}",290.79457499999995,6.51117,z DECam SDSS c0004 9260.0 1520.0,0.94,,80.0,1332227,2024-10-04,2024-10-04T00:26:29.030614+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS z,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T17:30:30.934403+0000,605035c0fe1da81186f3c04dcf43c062,343068480,/data_local/images/DTS/2023B-851374/DECam_01332231.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_003357_ooi_z_v1.fits.fz,1.3,"{'gte': 290.9839583333333, 'lte': 290.9839583334333}","{'gte': 5.099444444444444, 'lte': 5.099444444544444}",290.9839583333333,5.099444444444444,z DECam SDSS c0004 9260.0 1520.0,0.88,23.7,80.0,1332231,2024-10-04,2024-10-04T00:33:57.221081+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 23,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T17:34:18.861927+0000,ea10e1f751f8949f183a14ca21d29ec1,346417920,/data_local/images/DTS/2023B-851374/DECam_01332227.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_002629_ooi_z_v1.fits.fz,1.31,"{'gte': 290.80004166666663, 'lte': 290.8000416667666}","{'gte': 6.5103333333333335, 'lte': 6.5103333334333335}",290.80004166666663,6.5103333333333335,z DECam SDSS c0004 9260.0 1520.0,0.94,23.53,80.0,1332227,2024-10-04,2024-10-04T00:26:29.030614+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS z,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T02:09:15.747907+0000,ea18edc4d40b92f23cf774a8161768ba,344338560,/data_local/images/DTS/2023B-851374/DECam_01332216.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_000640_ooi_i_gw.fits.fz,1.26,"{'gte': 290.9784458333333, 'lte': 290.9784458334333}","{'gte': 5.10033, 'lte': 5.1003300001}",290.9784458333333,5.10033,i DECam SDSS c0003 7835.0 1470.0,1.12,,70.0,1332216,2024-10-04,2024-10-04T00:06:40.320445+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 23,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T17:31:26.348522+0000,8ef018b0068e3058361b18b244c16a0b,344151360,/data_local/images/DTS/2023B-851374/DECam_01332230.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_003204_ooi_z_v1.fits.fz,1.3,"{'gte': 292.5538333333333, 'lte': 292.55383333343326}","{'gte': 6.098888888888888, 'lte': 6.098888888988888}",292.5538333333333,6.098888888888888,z DECam SDSS c0004 9260.0 1520.0,0.91,23.39,80.0,1332230,2024-10-04,2024-10-04T00:32:04.761662+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 22,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T16:43:43.782707+0000,02d920741bd9b9e2bdd9161e40ed7cff,347120640,/data_local/images/DTS/2023B-851374/DECam_01332215.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_000459_ooi_i_v1.fits.fz,1.26,"{'gte': 292.5532083333333, 'lte': 292.5532083334333}","{'gte': 6.0994722222222215, 'lte': 6.0994722223222215}",292.5532083333333,6.0994722222222215,i DECam SDSS c0003 7835.0 1470.0,1.23,23.26,70.0,1332215,2024-10-04,2024-10-04T00:04:59.949904+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 22,instcal,image,,2024-10-03,"[None, None]"
2024-10-04T16:41:56.929608+0000,056b8a77af1048c4f347346e12b272de,349629120,/data_local/images/DTS/2023B-851374/DECam_01332217.fits.fz,/net/archive/pipe/20241003/ct4m/2023B-851374/c4d_241004_000821_ooi_i_v1.fits.fz,1.25,"{'gte': 289.41279166666664, 'lte': 289.4127916667666}","{'gte': 4.098777777777777, 'lte': 4.098777777877777}",289.41279166666664,4.098777777777777,i DECam SDSS c0003 7835.0 1470.0,1.18,23.27,70.0,1332217,2024-10-04,2024-10-04T00:08:21.918379+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-10-03,decam,ct4m,ct,,object,GWMMADS 24,instcal,image,,2024-10-03,"[None, None]"
