objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,magerr_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,magerr_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,magerr_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202404230815532m163418,08:15:53.173 -16:34:18.137,123.9715544084982,-16.571704901414634,123.97158499839333,-16.571729325371663,1,2024-04-23T01:02:21.915,21.689167265944985,0.0675253628254433,r,2024-04-23T01:02:21.915,21.689167265944985,0.0675253628254433,r,2024-04-23T01:02:21.915,21.689167265944985,0.0675253628254433,r,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220743147m254551,07:43:14.733 -25:45:50.514,115.81138849285527,-25.76403186642465,115.81138849285527,-25.76403186642465,2,2024-04-22T23:50:15.765,17.682480299110715,0.003866642447086961,r,2024-04-23T02:46:13.590,17.279920308060042,0.004651497717356108,z,2024-04-23T02:46:13.590,17.279920308060042,0.004651497717356108,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220745546m244543,07:45:54.608 -24:45:42.802,116.4775365384546,-24.761889479141086,116.4775365384546,-24.761889479141086,2,2024-04-22T23:45:38.186,20.36249403261175,0.024797436050904294,r,2024-04-23T02:41:36.303,19.816600805616517,0.0387558297457125,z,2024-04-23T02:41:36.303,19.816600805616517,0.0387558297457125,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230837507m163211,08:37:50.747 -16:32:11.025,129.46144888298872,-16.536395954053674,129.46144888298872,-16.536395954053674,2,2024-04-23T00:59:08.092,20.54591325375977,0.022947665783986153,r,2024-04-23T00:59:08.092,20.54591325375977,0.022947665783986153,r,2024-04-23T01:55:46.368,20.798538968359473,0.04668604862001244,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230836407m183019,08:36:40.667 -18:30:19.130,129.16944632331854,-18.505314107321635,129.16944632331854,-18.505314107321635,2,2024-04-23T01:06:53.381,20.992387788705358,0.0350956919649737,r,2024-04-23T01:06:53.381,20.992387788705358,0.0350956919649737,r,2024-04-23T02:03:35.609,21.068733619164615,0.07053075994062535,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220754081m230446,07:54:08.140 -23:04:46.209,118.5339183516646,-23.079502506881504,118.5339183516646,-23.079502506881504,2,2024-04-22T23:40:59.620,18.60519420587968,0.006834412332476631,r,2024-04-22T23:40:59.620,18.60519420587968,0.006834412332476631,r,2024-04-23T02:36:56.884,18.931838276975874,0.015000470504381032,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220802104m271528,08:02:10.429 -27:15:28.350,120.54345513095356,-27.257875277535938,120.54345513095356,-27.257875277535938,2,2024-04-22T23:53:19.571,20.04443993891001,0.017382195684481173,r,2024-04-22T23:53:19.571,20.04443993891001,0.017382195684481173,r,2024-04-23T02:49:16.998,20.244611220955335,0.05539689271734093,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220803131m241958,08:03:13.094 -24:19:57.657,120.80455951605086,-24.332682663095223,120.80455951605086,-24.332682663095223,2,2024-04-22T23:42:30.197,19.861755131055368,0.019212835856603046,r,2024-04-22T23:42:30.197,19.861755131055368,0.019212835856603046,r,2024-04-23T02:38:27.542,20.006256645592128,0.042352473955644586,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220803280m260044,08:03:28.031 -26:00:43.615,120.86679741955989,-26.012115549052645,120.86679741955989,-26.012115549052645,2,2024-04-22T23:48:39.928,21.214093006053925,0.07124951809104837,r,2024-04-23T02:44:37.626,21.041470470091554,0.11436049195249963,z,2024-04-23T02:44:37.626,21.041470470091554,0.11436049195249963,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230836339m160815,08:36:33.927 -16:08:14.564,129.1413660458773,-16.137378906537418,129.1413660458773,-16.137378906537418,2,2024-04-23T00:59:08.092,21.634971427627328,0.05920494486401974,r,2024-04-23T01:55:46.368,21.33900284684665,0.07663994081198462,z,2024-04-23T01:55:46.368,21.33900284684665,0.07663994081198462,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230801416m292704,08:01:41.595 -29:27:03.989,120.42331543292505,-29.451108072983594,120.42331543292505,-29.451108072983594,2,2024-04-23T00:09:22.138,20.332603596349298,0.021628426810065847,r,2024-04-23T03:05:18.060,20.036611461907615,0.05685342184380351,z,2024-04-23T03:05:18.060,20.036611461907615,0.05685342184380351,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230833162m174036,08:33:16.232 -17:40:36.225,128.31763534799305,-17.676729241236124,128.31763534799305,-17.676729241236124,2,2024-04-23T01:05:23.141,21.65095058524273,0.057481683544084235,r,2024-04-23T01:05:23.141,21.65095058524273,0.057481683544084235,r,2024-04-23T02:02:05.191,21.769802588150835,0.1532924100596304,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230829126m213023,08:29:12.593 -21:30:23.020,127.30247339740716,-21.506394489821474,127.30247339740716,-21.506394489821474,2,2024-04-23T01:23:01.224,20.68354401497843,0.027964884835359135,r,2024-04-23T01:23:01.224,20.68354401497843,0.027964884835359135,r,2024-04-23T02:19:47.551,21.148119622535685,0.09023637940899096,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230830590m113510,08:30:59.031 -11:35:10.077,127.74596417480096,-11.586132657584189,127.74596417480096,-11.586132657584189,2,2024-04-23T00:40:35.202,19.857678244993565,0.022302475543320176,r,2024-04-23T00:40:35.202,19.857678244993565,0.022302475543320176,r,2024-04-23T01:37:17.846,20.716851694635537,0.06840853012191143,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230814239m162560,08:14:23.918 -16:25:59.534,123.59966220537149,-16.433204004488694,123.59966220537149,-16.433204004488694,2,2024-04-23T00:54:33.677,18.225032145393026,0.005278253017580219,r,2024-04-23T00:54:33.677,18.225032145393026,0.005278253017580219,r,2024-04-23T01:51:15.555,19.144396587917967,0.01326270026279072,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230826561m174440,08:26:56.096 -17:44:39.741,126.73373670692884,-17.744372657488796,126.73373670692884,-17.744372657488796,2,2024-04-23T01:03:52.797,19.795530755635287,0.015008229959772886,r,2024-04-23T01:03:52.797,19.795530755635287,0.015008229959772886,r,2024-04-23T02:00:32.292,20.79233637969904,0.059631910069085796,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230809061m294629,08:09:06.069 -29:46:28.817,122.27528756048757,-29.77467152230599,122.27528756048757,-29.77467152230599,2,2024-04-23T00:12:51.737,20.81341596021499,0.04194642397976315,r,2024-04-23T03:06:49.957,19.930999641551818,0.0602240091352741,z,2024-04-23T03:06:49.957,19.930999641551818,0.0602240091352741,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230826379m205002,08:26:37.922 -20:50:01.513,126.6580104673843,-20.833753847487934,126.6580104673843,-20.833753847487934,2,2024-04-23T01:23:01.224,20.712980906277195,0.027233963770678542,r,2024-04-23T02:19:47.551,20.600619240873435,0.05298861164037799,z,2024-04-23T02:19:47.551,20.600619240873435,0.05298861164037799,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230814066m294350,08:14:06.594 -29:43:49.978,123.52747892291244,-29.730549454033547,123.52747892291244,-29.730549454033547,2,2024-04-23T00:12:51.737,21.08945261204239,0.056111486939920664,r,2024-04-23T03:06:49.957,20.618728028689894,0.11200998285416668,z,2024-04-23T03:06:49.957,20.618728028689894,0.11200998285416668,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230819242m155108,08:19:24.166 -15:51:07.532,124.85069287781165,-15.852092370985668,124.85069287781165,-15.852092370985668,2,2024-04-23T00:56:06.115,21.987479454623262,0.07180443720286411,r,2024-04-23T01:52:45.726,21.639330776064366,0.12648360395784877,z,2024-04-23T01:52:45.726,21.639330776064366,0.12648360395784877,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230819036m172901,08:19:03.614 -17:29:00.612,124.76506154382574,-17.483503575340748,124.76506154382574,-17.483503575340748,2,2024-04-23T01:02:21.915,22.674214801095253,0.14793115865487166,r,2024-04-23T01:58:59.203,22.099897528763176,0.19857934556304319,z,2024-04-23T01:58:59.203,22.099897528763176,0.19857934556304319,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230821534m300608,08:21:53.447 -30:06:07.917,125.4726965919541,-30.10219939207822,125.4726965919541,-30.10219939207822,2,2024-04-23T03:26:35.635,19.642951074800223,0.05583343220037214,z,2024-04-23T03:26:35.635,19.642951074800223,0.05583343220037214,z,2024-04-23T03:28:08.436,19.973083375713465,0.04955311234726583,r,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230842302m153558,08:42:30.173 -15:35:58.336,130.62572356336946,-15.599537838914683,130.62572356336946,-15.599537838914683,2,2024-04-23T00:52:49.715,21.25930877498927,0.047519311043314055,r,2024-04-23T01:49:31.557,21.129868867875913,0.0746298343063047,z,2024-04-23T01:49:31.557,21.129868867875913,0.0746298343063047,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230840463m123945,08:40:46.311 -12:39:45.332,130.19296540506633,-12.662592372317855,130.19296540506633,-12.662592372317855,2,2024-04-23T00:42:07.170,22.02544104135672,0.09346296065755391,r,2024-04-23T01:38:49.246,21.90070258045787,0.16348799472353032,z,2024-04-23T01:38:49.246,21.90070258045787,0.16348799472353032,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
A202404230835046m181621,08:35:04.608 -18:16:21.275,128.76920150446432,-18.272576563888375,128.76920150446432,-18.272576563888375,2,2024-04-23T01:06:53.381,21.171812611576655,0.041309634143600775,r,2024-04-23T01:06:53.381,21.171812611576655,0.041309634143600775,r,2024-04-23T02:03:35.609,21.813668420502147,0.14116148757192273,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230838390m185605,08:38:39.029 -18:56:05.312,129.6626239623794,-18.934808901385594,129.6626239623794,-18.934808901385594,1,2024-04-23T01:06:53.381,19.231872653755968,0.009141969915456455,r,2024-04-23T01:06:53.381,19.231872653755968,0.009141969915456455,r,2024-04-23T01:06:53.381,19.231872653755968,0.009141969915456455,r,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230822324m184027,08:22:32.428 -18:40:26.632,125.6351187803572,-18.674064538461447,125.6350715597656,-18.6740498028056,4,2024-04-23T01:03:52.797,22.218758927671296,0.11887704509392963,r,2024-04-23T01:13:16.737,21.833033336015845,0.06250361244862192,r,2024-04-23T02:10:01.139,21.90739281252196,0.15292911125410893,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
C202404220748432m263931,07:48:43.231 -26:39:30.513,117.1801301638833,-26.65847590820796,117.1801301638833,-26.65847590820796,4,2024-04-22T23:51:46.851,19.925315483078215,0.01997991244106269,r,2024-04-23T02:47:45.560,19.287442656912628,0.02325537342171299,z,2024-04-23T02:52:24.631,19.346461421473755,0.02920765135093604,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230829340m194920,08:29:33.963 -19:49:19.531,127.39151255335118,-19.822092133470598,127.39155572525718,-19.82204653097605,3,2024-04-23T01:16:47.235,21.72740229512371,0.07529849748138377,r,2024-04-23T01:23:01.224,21.65146112128901,0.06758770750185468,r,2024-04-23T02:19:47.551,21.741233056355263,0.15825698884663159,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230832302m160508,08:32:30.182 -16:05:08.048,128.1257621108452,-16.085568921775458,128.1257621108452,-16.085568921775458,3,2024-04-23T00:57:37.303,21.855618399996626,0.06739625252846639,r,2024-04-23T01:54:15.977,21.374373425252827,0.11440245456741119,z,2024-04-23T01:54:15.977,21.374373425252827,0.11440245456741119,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230827131m201259,08:27:13.104 -20:12:58.776,126.80460209301377,-20.216326785545217,126.80460209301377,-20.216326785545217,3,2024-04-23T01:23:01.224,20.71498777096322,0.02830294014488989,r,2024-04-23T01:23:01.224,20.71498777096322,0.02830294014488989,r,2024-04-23T02:19:47.551,20.764470437802686,0.0596975251458801,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404220803280m260044,08:03:28.031 -26:00:43.615,120.86679741955989,-26.012115549052645,120.86679741955989,-26.012115549052645,2,2024-04-22T23:48:39.928,21.214093006053925,0.07124951809104837,r,2024-04-23T02:44:37.626,21.041470470091554,0.11436049195249963,z,2024-04-23T02:44:37.626,21.041470470091554,0.11436049195249963,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230837507m163211,08:37:50.747 -16:32:11.025,129.46144888298872,-16.536395954053674,129.46144888298872,-16.536395954053674,2,2024-04-23T00:59:08.092,20.54591325375977,0.022947665783986153,r,2024-04-23T00:59:08.092,20.54591325375977,0.022947665783986153,r,2024-04-23T01:55:46.368,20.798538968359473,0.04668604862001244,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230836407m183019,08:36:40.667 -18:30:19.130,129.16944632331854,-18.505314107321635,129.16944632331854,-18.505314107321635,2,2024-04-23T01:06:53.381,20.992387788705358,0.0350956919649737,r,2024-04-23T01:06:53.381,20.992387788705358,0.0350956919649737,r,2024-04-23T02:03:35.609,21.068733619164615,0.07053075994062535,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230836123m164432,08:36:12.300 -16:44:32.491,129.05125412940916,-16.74235869565635,129.05125412940916,-16.74235869565635,2,2024-04-23T00:59:08.092,21.27080645614176,0.04138069305178454,r,2024-04-23T00:59:08.092,21.27080645614176,0.04138069305178454,r,2024-04-23T01:55:46.368,21.450228039977684,0.08317173428030529,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230834494m200328,08:34:49.402 -20:03:28.264,128.7058446837605,-20.057851313806626,128.7058446837605,-20.057851313806626,2,2024-04-23T01:16:47.235,21.307865319175214,0.048059740103860354,r,2024-04-23T01:16:47.235,21.307865319175214,0.048059740103860354,r,2024-04-23T02:13:30.460,21.6633783299335,0.13378537303705557,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230834069m194223,08:34:06.890 -19:42:23.205,128.52871030274437,-19.706446070840574,128.52871030274437,-19.706446070840574,2,2024-04-23T01:16:47.235,20.868740395162977,0.03246513507386798,r,2024-04-23T01:16:47.235,20.868740395162977,0.03246513507386798,r,2024-04-23T02:13:30.460,21.725651562719726,0.14774074576844604,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230833368m182525,08:33:36.776 -18:25:25.288,128.40323621193826,-18.42369129430112,128.40323621193826,-18.42369129430112,2,2024-04-23T01:05:23.141,21.50051953329514,0.047771983532277296,r,2024-04-23T02:02:05.191,21.15689886056076,0.08388749327425359,z,2024-04-23T02:02:05.191,21.15689886056076,0.08388749327425359,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230829513m175753,08:29:51.306 -17:57:52.992,127.46377758878569,-17.96472019985818,127.46377758878569,-17.96472019985818,2,2024-04-23T01:05:23.141,21.27652857903801,0.04004589561200872,r,2024-04-23T01:05:23.141,21.27652857903801,0.04004589561200872,r,2024-04-23T02:02:05.191,21.383752180667543,0.10882338053021534,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
T202404230829280m213156,08:29:27.970 -21:31:55.971,127.36654497137457,-21.53221419398802,127.36654497137457,-21.53221419398802,2,2024-04-23T01:23:01.224,20.710551081650255,0.028153977251180108,r,2024-04-23T01:23:01.224,20.710551081650255,0.028153977251180108,r,2024-04-23T02:19:47.551,21.01510437213011,0.075873067771948,z,NA,nan,nan,nan,nan,nan,nan,nan,NA,NA
