objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host,fritz_link
C202309242204580m282926,22:04:58.014 -28:29:25.690,331.241725702721,-28.49046946494930,331.2416191973570,-28.49063196400330,4,2023-09-24T01:59:07.458,21.22440029444440,i,2023-10-04T00:27:14.448,20.430650573842200,g,2023-10-04T02:34:05.654,20.94379050239680,i,3311m285_2473,331.2416494766690,-28.49069350415990,19.18898195028310,inf,inf,nan,nan,NONE,NONE,https://fritz.science/source/C202309242204580m282926
C202309242247183m132430,22:47:18.257 -13:24:30.173,341.8260737504590,-13.4083816548423,341.8260204820830,-13.40840026128870,4,2023-09-24T02:13:46.888,21.375108487019400,i,2023-10-04T04:32:11.083,20.837808287294700,i,2023-10-04T04:32:11.083,20.837808287294700,i,3418m135_1103,341.8258716762220,-13.40842339295230,21.2627312541008,20.743506997823700,20.36290407180790,nan,nan,NONE,NONE,https://fritz.science/source/C202309242247183m132430
A202310042237432m160819,22:37:43.157 -16:08:19.357,339.4298233196720,-16.1387104771807,339.4298233196720,-16.1387104771807,2,2023-10-04T01:51:56.231,21.218670000504300,g,2023-10-04T04:36:04.370,20.81845174571790,i,2023-10-04T04:36:04.370,20.81845174571790,i,3393m162_3346,339.4298430794420,-16.13872170593270,18.874225318431900,inf,17.97360271215440,nan,nan,NONE,NONE,https://fritz.science/source/A202310042237432m160819
C202309242244079m290053,22:44:07.941 -29:00:52.696,341.0330897052340,-29.01463789050870,341.0330730141230,-29.01467881570520,4,2023-09-24T01:29:10.422,20.628674921666600,i,2023-10-04T00:07:07.053,20.39690538298470,g,2023-10-04T02:31:25.885,20.400476833273800,i,3410m290_2729,341.0332650936130,-29.01470640487780,19.14889305830000,inf,18.027085661888100,nan,nan,NONE,NONE,https://fritz.science/source/C202309242244079m290053
A202309242250535m165011,22:50:53.521 -16:50:10.644,342.7230067115870,-16.83629018224660,342.7229965845260,-16.83630302363480,4,2023-09-24T01:19:11.657,21.97072373392840,i,2023-10-04T04:18:52.721,21.208331501398400,i,2023-10-04T04:18:52.721,21.208331501398400,i,3426m167_3070,342.7229373070090,-16.83627347858670,22.010727748274800,21.481871902942700,21.70784592628480,nan,nan,NONE,NONE,https://fritz.science/source/A202309242250535m165011
C202309242246522m280621,22:46:52.201 -28:06:20.521,341.7175080771600,-28.1057003781254,341.7175793975830,-28.10574687316680,4,2023-09-24T00:59:03.661,21.444815666047900,i,2023-10-04T00:19:42.457,20.778525105807600,g,2023-10-04T02:45:38.600,21.02769703213410,i,3417m280_1314,341.7174603923970,-28.10549945962410,22.407611096277800,inf,20.9731388092041,nan,nan,NONE,NONE,https://fritz.science/source/C202309242246522m280621
C202309242214247m221046,22:14:24.725 -22:10:46.456,333.6030213507090,-22.17957133752190,333.6030887102810,-22.17958336498050,4,2023-09-24T01:08:50.993,21.861473502950600,i,2023-10-04T01:14:01.453,21.310308309211900,g,2023-10-04T03:33:26.825,21.33375069942390,i,3336m222_929,333.603312975448,-22.17952586512820,20.889878571033500,inf,inf,nan,nan,NONE,NONE,https://fritz.science/source/C202309242214247m221046
C202310042207549m253435,22:07:54.935 -25:34:35.251,331.9788973624130,-25.57645861912830,331.9788973624130,-25.57645861912830,2,2023-10-04T00:49:08.290,21.18936145261710,g,2023-10-04T00:49:08.290,21.18936145261710,g,2023-10-04T03:01:06.174,21.38358871261990,i,3319m255_3112,331.9788298984930,-25.5762318990292,19.7459813952446,inf,inf,nan,nan,NONE,NONE,https://fritz.science/source/C202310042207549m253435
C202309242248405m134956,22:48:40.471 -13:49:56.010,342.1686323698650,-13.83222503435910,342.1685967300310,-13.83225806219470,4,2023-09-24T02:13:46.888,21.450343675124000,i,2023-10-04T04:32:11.083,20.4087329851877,i,2023-10-04T04:32:11.083,20.4087329851877,i,3421m137_3614,342.1685397543690,-13.8323741287377,19.865353107452400,19.2239847779274,18.743784427642800,nan,nan,NONE,NONE,https://fritz.science/source/C202309242248405m134956
A202309242259039m220020,22:59:03.851 -22:00:19.780,344.7660497862750,-22.00549454217280,344.7660278225000,-22.0054927682901,4,2023-09-24T01:50:53.177,19.226108432333300,i,2023-10-04T03:29:14.073,18.932139361903000,i,2023-10-04T03:29:14.073,18.932139361903000,i,3447m220_1480,344.7661578811530,-22.00552405243410,18.118945360183700,inf,16.426141262054400,0.14855,nan,PHOT,NED 2014ApJS..210....9B,https://fritz.science/source/A202309242259039m220020
