,objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host,fritz_link,ls_brickname,ls_objid,ls_sweeprange,ls_brickid,ls_RELEASE,ls_Z_PHOT_MEAN,ls_Z_PHOT_MEDIAN,ls_Z_PHOT_STD,ls_Z_PHOT_L68,ls_Z_PHOT_U68,ls_Z_PHOT_L95,ls_Z_PHOT_U95,ls_Z_SPEC,ls_SURVEY,ls_TRAINING,ls_KFOLD
0,C202309242204580m282926,22:04:58.014 -28:29:25.690,331.241725702721,-28.4904694649493,331.241619197357,-28.4906319640033,4,2023-09-24T01:59:07.458,21.2244002944444,i,2023-10-04T00:27:14.448,20.4306505738422,g,2023-10-04T02:34:05.654,20.9437905023968,i,3311m285_2473,331.241649476669,-28.4906935041599,19.1889819502831,inf,inf,,,NONE,NONE,https://fritz.science/source/C202309242204580m282926,3311m285,2473,330m030-335m025,173952,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
1,C202309242247183m132430,22:47:18.257 -13:24:30.173,341.826073750459,-13.4083816548423,341.826020482083,-13.4084002612887,4,2023-09-24T02:13:46.888,21.3751084870194,i,2023-10-04T04:32:11.083,20.8378082872947,i,2023-10-04T04:32:11.083,20.8378082872947,i,3418m135_1103,341.825871676222,-13.4084233929523,21.2627312541008,20.7435069978237,20.3629040718079,,,NONE,NONE,https://fritz.science/source/C202309242247183m132430,3418m135,1103,340m015-345m010,254609,10000,0.2113035,0.1752702,0.1397967,0.13804068,0.25732014,0.109625064,0.5552728,-99.0,,False,0
2,A202310042237432m160819,22:37:43.157 -16:08:19.357,339.429823319672,-16.1387104771807,339.429823319672,-16.1387104771807,2,2023-10-04T01:51:56.231,21.2186700005043,g,2023-10-04T04:36:04.370,20.8184517457179,i,2023-10-04T04:36:04.370,20.8184517457179,i,3393m162_3346,339.429843079442,-16.1387217059327,18.8742253184319,inf,17.9736027121544,,,NONE,NONE,https://fritz.science/source/A202310042237432m160819,3393m162,3346,335m020-340m015,239264,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
3,C202309242244079m290053,22:44:07.941 -29:00:52.696,341.033089705234,-29.0146378905087,341.033073014123,-29.0146788157052,4,2023-09-24T01:29:10.422,20.6286749216666,i,2023-10-04T00:07:07.053,20.3969053829847,g,2023-10-04T02:31:25.885,20.4004768332738,i,3410m290_2729,341.033265093613,-29.0147064048778,19.1488930583,inf,18.0270856618881,,,NONE,NONE,https://fritz.science/source/C202309242244079m290053,3410m290,2729,340m030-345m025,171455,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
4,A202309242250535m165011,22:50:53.521 -16:50:10.644,342.723006711587,-16.8362901822466,342.722996584526,-16.8363030236348,4,2023-09-24T01:19:11.657,21.9707237339284,i,2023-10-04T04:18:52.721,21.2083315013984,i,2023-10-04T04:18:52.721,21.2083315013984,i,3426m167_3070,342.722937307009,-16.8362734785867,22.0107277482748,21.4818719029427,21.7078459262848,,,NONE,NONE,https://fritz.science/source/A202309242250535m165011,3426m167,3070,340m020-345m015,236511,10000,0.36857352,0.29998663,0.28654233,0.18996808,0.49506348,0.03987321,1.302677,-99.0,,False,3
5,C202309242246522m280621,22:46:52.201 -28:06:20.521,341.71750807716,-28.1057003781254,341.717579397583,-28.1057468731668,4,2023-09-24T00:59:03.661,21.4448156660479,i,2023-10-04T00:19:42.457,20.7785251058076,g,2023-10-04T02:45:38.600,21.0276970321341,i,3417m280_1314,341.717460392397,-28.1054994596241,22.4076110962778,inf,20.9731388092041,,,NONE,NONE,https://fritz.science/source/C202309242246522m280621,3417m280,1314,340m030-345m025,176533,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
6,C202309242214247m221046,22:14:24.725 -22:10:46.456,333.603021350709,-22.1795713375219,333.603088710281,-22.1795833649805,4,2023-09-24T01:08:50.993,21.8614735029506,i,2023-10-04T01:14:01.453,21.3103083092119,g,2023-10-04T03:33:26.825,21.3337506994239,i,3336m222_929,333.603312975448,-22.1795258651282,20.8898785710335,inf,inf,,,NONE,NONE,https://fritz.science/source/C202309242214247m221046,3336m222,929,330m025-335m020,206556,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
7,C202310042207549m253435,22:07:54.935 -25:34:35.251,331.978897362413,-25.5764586191283,331.978897362413,-25.5764586191283,2,2023-10-04T00:49:08.290,21.1893614526171,g,2023-10-04T00:49:08.290,21.1893614526171,g,2023-10-04T03:01:06.174,21.3835887126199,i,3319m255_3112,331.978829898493,-25.5762318990292,19.7459813952446,inf,inf,,,NONE,NONE,https://fritz.science/source/C202310042207549m253435,3319m255,3112,330m025-335m020,189392,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
8,C202309242248405m134956,22:48:40.471 -13:49:56.010,342.168632369865,-13.8322250343591,342.168596730031,-13.8322580621947,4,2023-09-24T02:13:46.888,21.450343675124,i,2023-10-04T04:32:11.083,20.4087329851877,i,2023-10-04T04:32:11.083,20.4087329851877,i,3421m137_3614,342.168539754369,-13.8323741287377,19.8653531074524,19.2239847779274,18.7437844276428,,,NONE,NONE,https://fritz.science/source/C202309242248405m134956,3421m137,3614,340m015-345m010,253208,10000,0.1578601,0.1532004,0.024608247,0.13670644,0.18162268,0.121922866,0.21055706,-99.0,,False,4
9,A202309242259039m220020,22:59:03.851 -22:00:19.780,344.766049786275,-22.0054945421728,344.7660278225,-22.0054927682901,4,2023-09-24T01:50:53.177,19.2261084323333,i,2023-10-04T03:29:14.073,18.932139361903,i,2023-10-04T03:29:14.073,18.932139361903,i,3447m220_1480,344.766157881153,-22.0055240524341,18.1189453601837,inf,16.4261412620544,0.14855,,PHOT,NED 2014ApJS..210....9B,https://fritz.science/source/A202309242259039m220020,3447m220,1480,340m025-345m020,207935,10000,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,,False,-99
