id,filter,date,ra,declination,
"1241908","i","2023-09-23 23:40:31.206447+00:00","337.355504","-21.77169",
"1241909","i","2023-09-23 23:42:21.292531+00:00","338.188321","-23.2427",
"1241910","i","2023-09-23 23:44:10.276387+00:00","337.220446","-24.88522",
"1241911","i","2023-09-23 23:46:01.747665+00:00","340.010896","-23.06989",
"1241912","i","2023-09-23 23:47:50.107302+00:00","339.170458","-21.61609",
"1241913","i","2023-09-23 23:49:39.261110+00:00","337.355504","-21.77169",
"1241914","i","2023-09-23 23:51:30.497361+00:00","340.874775","-24.52166",
"1241915","i","2023-09-23 23:53:20.625970+00:00","338.101558","-26.37142",
"1241916","i","2023-09-23 23:55:20.016696+00:00","340.996483","-21.44802",
"1241917","i","2023-09-23 23:57:17.694763+00:00","336.268846","-26.53866",
"1241918","i","2023-09-23 23:59:12.501053+00:00","335.548604","-21.91381",
"1241919","i","2023-09-24 00:01:01.843731+00:00","334.48425","-24.68",
"1241920","i","2023-09-24 00:03:03.073155+00:00","337.540829","-18.69634",
"1241921","i","2023-09-24 00:04:51.385096+00:00","338.348458","-20.15925",
"1241922","i","2023-09-24 00:06:46.622317+00:00","339.0456","-24.71269",
"1241923","i","2023-09-24 00:08:41.064084+00:00","334.5594","-23.53886",
"1241924","i","2023-09-24 00:10:34.659054+00:00","337.045996","-27.701",
"1241925","i","2023-09-24 00:12:30.586850+00:00","341.844508","-22.8836",
"1241926","i","2023-09-24 00:14:35.545276+00:00","334.434225","-26.68437",
"1241927","i",,,,
"1241931","i","2023-09-24 00:37:12.883329+00:00","336.543075","-20.29865",
"1241932","i","2023-09-24 00:39:21.088736+00:00","335.331479","-28.19901",
"1241933","i","2023-09-24 00:41:27.780345+00:00","342.835546","-21.26945",
"1241934","i","2023-09-24 00:43:17.665878+00:00","341.164592","-18.41852",
"1241935","i","2023-09-24 00:45:05.799035+00:00","341.994358","-19.84703",
"1241936","i","2023-09-24 00:47:05.139680+00:00","335.747025","-18.82157",
"1241937","i","2023-09-24 00:48:57.646953+00:00","339.345692","-18.56166",
"1241938","i","2023-09-24 00:51:13.293487+00:00","338.135342","-29.54656",
"1241939","i","2023-09-24 00:53:05.470180+00:00","341.768146","-25.97339",
"1241940","i","2023-09-24 00:54:55.183739+00:00","339.933346","-26.18266",
"1241941","i","2023-09-24 00:57:00.916579+00:00","334.746767","-20.42659",
