ra,dec,fil,obj
159.97330399999998,4.663106000000001,i,LIGO/Virgo
160.799796,6.103496,i,LIGO/Virgo
161.62452299999998,7.534006,i,LIGO/Virgo
159.91710099999997,7.5783059999999995,i,LIGO/Virgo
163.272099,10.363456,i,LIGO/Virgo
165.00589,10.294426,i,LIGO/Virgo
159.10018699999998,6.137995999999999,i,LIGO/Virgo
158.28089,4.6882660000000005,i,LIGO/Virgo
159.144162,3.213296,i,LIGO/Virgo
162.448343,8.954146,i,LIGO/Virgo
161.67528,4.636445999999999,i,LIGO/Virgo
162.508829,6.066986,i,LIGO/Virgo
164.09661799999998,11.761516,i,LIGO/Virgo
165.83983899999998,11.680666,i,LIGO/Virgo
166.675952,13.054725999999999,i,LIGO/Virgo
164.92271799999997,13.147865999999999,i,LIGO/Virgo
164.17328899999998,8.896436,i,LIGO/Virgo
163.34121399999998,7.487136,i,LIGO/Virgo
166.74831899999998,10.221586,i,LIGO/Virgo
159.97330399999998,4.663106000000001,r,LIGO/Virgo
160.799796,6.103496,r,LIGO/Virgo
161.62452299999998,7.534006,r,LIGO/Virgo
159.91710099999997,7.5783059999999995,r,LIGO/Virgo
163.272099,10.363456,r,LIGO/Virgo
165.00589,10.294426,r,LIGO/Virgo
159.10018699999998,6.137995999999999,r,LIGO/Virgo
158.28089,4.6882660000000005,r,LIGO/Virgo
159.144162,3.213296,r,LIGO/Virgo
162.448343,8.954146,r,LIGO/Virgo
161.67528,4.636445999999999,r,LIGO/Virgo
162.508829,6.066986,r,LIGO/Virgo
164.09661799999998,11.761516,r,LIGO/Virgo
165.83983899999998,11.680666,r,LIGO/Virgo
166.675952,13.054725999999999,r,LIGO/Virgo
164.92271799999997,13.147865999999999,r,LIGO/Virgo
164.17328899999998,8.896436,r,LIGO/Virgo
163.34121399999998,7.487136,r,LIGO/Virgo
166.74831899999998,10.221586,r,LIGO/Virgo
159.909414,4.37567,i,LIGO/Virgo
160.735906,5.81606,i,LIGO/Virgo
161.560633,7.24657,i,LIGO/Virgo
159.853211,7.29087,i,LIGO/Virgo
163.208209,10.07602,i,LIGO/Virgo
164.942,10.00699,i,LIGO/Virgo
159.036297,5.85056,i,LIGO/Virgo
158.217,4.40083,i,LIGO/Virgo
159.080272,2.92586,i,LIGO/Virgo
162.384453,8.66671,i,LIGO/Virgo
161.61139,4.34901,i,LIGO/Virgo
162.444939,5.77955,i,LIGO/Virgo
164.032728,11.47408,i,LIGO/Virgo
165.775949,11.39323,i,LIGO/Virgo
166.612062,12.76729,i,LIGO/Virgo
164.858828,12.86043,i,LIGO/Virgo
164.109399,8.609,i,LIGO/Virgo
163.277324,7.1997,i,LIGO/Virgo
166.684429,9.93415,i,LIGO/Virgo
159.909414,4.37567,r,LIGO/Virgo
160.735906,5.81606,r,LIGO/Virgo
161.560633,7.24657,r,LIGO/Virgo
159.853211,7.29087,r,LIGO/Virgo
163.208209,10.07602,r,LIGO/Virgo
164.942,10.00699,r,LIGO/Virgo
159.036297,5.85056,r,LIGO/Virgo
158.217,4.40083,r,LIGO/Virgo
159.080272,2.92586,r,LIGO/Virgo
162.384453,8.66671,r,LIGO/Virgo
161.61139,4.34901,r,LIGO/Virgo
162.444939,5.77955,r,LIGO/Virgo
164.032728,11.47408,r,LIGO/Virgo
165.775949,11.39323,r,LIGO/Virgo
166.612062,12.76729,r,LIGO/Virgo
164.858828,12.86043,r,LIGO/Virgo
164.109399,8.609,r,LIGO/Virgo
163.277324,7.1997,r,LIGO/Virgo
166.684429,9.93415,r,LIGO/Virgo
